LineId,Date,Time,Level,Node,Component,Id,Content,EventId,EventTemplate
"161,2015-07-29,""19:24:50,374"",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,E42,Send worker leaving thread"
"162,2015-07-29,""19:24:57,160"",WARN,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,762,""Connection broken for id 188978561024, my id = 1, error ="",E11,""Connection broken for id <*>, my id = <*>, error ="""
"163,2015-07-29,""19:24:57,175"",WARN,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,762,""Connection broken for id 188978561024, my id = 1, error ="",E11,""Connection broken for id <*>, my id = <*>, error ="""
"164,2015-07-29,""19:25:03,663"",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,E42,Send worker leaving thread"
"165,2015-07-29,""19:25:03,744"",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,E42,Send worker leaving thread"
"166,2015-07-29,""19:25:03,857"",INFO,/10.10.34.11,3888:QuorumCnxManager$Listener,493,Received connection request /10.10.34.13:59016,E40,Received connection request /<*>:<*>"
"167,2015-07-29,""19:25:07,003"",WARN,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,765,Interrupting SendWorker,E25,Interrupting SendWorker"
"168,2015-07-29,""19:25:07,079"",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,E42,Send worker leaving thread"
"169,2015-07-29,""19:25:07,102"",WARN,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,765,Interrupting SendWorker,E25,Interrupting SendWorker"
"170,2015-07-29,""19:25:07,107"",INFO,/10.10.34.11,3888:QuorumCnxManager$Listener,493,Received connection request /10.10.34.12:48811,E40,Received connection request /<*>:<*>"
"171,2015-07-29,""19:25:10,536"",INFO,/10.10.34.11,3888:QuorumCnxManager$Listener,493,Received connection request /10.10.34.13:59037,E40,Received connection request /<*>:<*>"
"172,2015-07-29,""19:25:10,539"",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,E42,Send worker leaving thread"
"173,2015-07-29,""19:25:13,695"",WARN,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,765,Interrupting SendWorker,E25,Interrupting SendWorker"
"174,2015-07-29,""19:25:13,874"",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,E42,Send worker leaving thread"
"175,2015-07-29,""19:25:17,021"",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,688,Send worker leaving thread,E42,Send worker leaving thread"
"176,2015-07-29,""19:25:17,124"",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue"
"177,2015-07-29,""19:25:23,702"",WARN,SendWorker,188978561024:QuorumCnxManager$SendWorker,679,Interrupted while waiting for message on queue,E24,Interrupted while waiting for message on queue"
"178,2015-07-29,""19:25:23,811"",WARN,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,762,""Connection broken for id 188978561024, my id = 1, error ="",E11,""Connection broken for id <*>, my id = <*>, error ="""
"179,2015-07-29,""19:25:23,889"",INFO,/10.10.34.11,3888:QuorumCnxManager$Listener,493,Received connection request /10.10.34.13:59078,E40,Received connection request /<*>:<*>"
"180,2015-07-29,""19:25:27,058"",WARN,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,762,""Connection broken for id 188978561024, my id = 1, error ="",E11,""Connection broken for id <*>, my id = <*>, error ="""
"181,2015-07-29,""19:25:27,242"",WARN,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,765,Interrupting SendWorker,E25,Interrupting SendWorker"
"182,2015-07-29,""19:25:30,398"",INFO,/10.10.34.11,3888:QuorumCnxManager$Listener,493,Received connection request /10.10.34.11:46798,E40,Received connection request /<*>:<*>"
"183,2015-07-29,""19:25:30,571"",WARN,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,765,Interrupting SendWorker,E25,Interrupting SendWorker"
"184,2015-07-29,""19:25:33,833"",WARN,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,762,""Connection broken for id 188978561024, my id = 1, error ="",E11,""Connection broken for id <*>, my id = <*>, error ="""
"185,2015-07-29,""19:25:33,923"",WARN,RecvWorker,188978561024:QuorumCnxManager$RecvWorker,762,""Connection broken for id 188978561024, my id = 1, error ="",E11,""Connection broken for id <*>, my id = <*>, error ="""
